"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"sau00920",8,"Up",0.00221950221066406,0.241925740962382,0.116042622632799,0.218080101154743,"Sulfur metabolism"
"sau00552",22,"Down",0.00592621175312839,0.322978540545498,0.0157705416655995,0.0879003631707938,"Teichoic acid biosynthesis"
"sau00260",30,"Up",0.0115195435510331,0.3542192485643,0.0666777816959314,0.151414129267844,"Glycine, serine and threonine metabolism"
"sau00910",12,"Up",0.0161042199215109,0.3542192485643,0.0195831597556801,0.0889401838903804,"Nitrogen metabolism"
"sau01120",132,"Up",0.0162485893836835,0.3542192485643,0.00292373095188888,0.0454453873353491,"Microbial metabolism in diverse environments"
"sau00680",18,"Down",0.0232909194901525,0.423118370737771,0.00202620171575206,0.0454453873353491,"Methane metabolism"
"sau00542",1,"Down",0.0350058161503494,0.506379043358222,0.0350058161503494,0.119238561262128,"O-Antigen repeat unit biosynthesis"
"sau00500",15,"Down",0.0372996071158219,0.506379043358222,0.033684304461343,0.118438360847948,"Starch and sucrose metabolism"
"sau00400",17,"Up",0.0502384254808896,0.506379043358222,0.49446277402972,0.573366408183398,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"sau01502",6,"Down",0.0502909928497023,0.506379043358222,0.139939182983435,0.233951713388197,"Vancomycin resistance"
"sau03430",17,"Down",0.0511024722655086,0.506379043358222,0.0247689905395854,0.107992798752593,"Mismatch repair"
"sau00300",12,"Up",0.0619719807923298,0.510658502529466,0.0281517752947562,0.112681282035088,"Lysine biosynthesis"
"sau00310",9,"Up",0.0722120678389285,0.510658502529466,0.0426446283287825,0.132807556795351,"Lysine degradation"
"sau00380",9,"Up",0.0733643001618995,0.510658502529466,0.0107163605024191,0.0787472942407558,"Tryptophan metabolism"
"sau04122",10,"Up",0.0759947538246607,0.510658502529466,0.0560318591842663,0.137797812204051,"Sulfur relay system"
"sau03010",57,"Up",0.0789421766222827,0.510658502529466,0.0495710704751068,0.137797812204051,"Ribosome"
"sau00480",8,"Down",0.0808086535708235,0.510658502529466,0.201245912636788,0.296411123915874,"Glutathione metabolism"
"sau03018",14,"Up",0.0886339686557904,0.510658502529466,0.0161797583301026,0.0879003631707938,"RNA degradation"
"sau00970",24,"Down",0.0982463475125513,0.510658502529466,0.0310342019514072,0.112757600423446,"Aminoacyl-tRNA biosynthesis"
"sau00190",23,"Up",0.0991272691233339,0.510658502529466,0.0568890050383695,0.137797812204051,"Oxidative phosphorylation"
